case_id,dsc_NCR/NET,dsc_Edema,dsc_Enhancing Tumor,mean_dsc
,0.9581901431083679,0.815882682800293,0.9380239844322205,0.9040322701136271
,0.9385567903518677,0.8619815111160278,0.9243823885917664,0.908306896686554
,0.9455337524414062,0.8742555379867554,0.9144197106361389,0.9114030003547668
,0.8898884057998657,0.938535213470459,0.9057899117469788,0.9114045103391012
,0.9435535073280334,0.9251381158828735,0.8710076808929443,0.9132331013679504
,0.939449667930603,0.8874592781066895,0.913759171962738,0.9135560393333435
,0.9651852250099182,0.8821407556533813,0.9002708196640015,0.9158656001091003
,0.926409900188446,0.922447919845581,0.8990321159362793,0.9159633119901022
,0.8963992595672607,0.9112949371337891,0.9430594444274902,0.91691788037618
,0.9479051828384399,0.8445025086402893,0.9610710740089417,0.917826255162557
,0.963325560092926,0.8875479102134705,0.9027029275894165,0.9178587992986044
,0.8712133169174194,0.9293123483657837,0.9531702995300293,0.9178986549377441
,0.8827404379844666,0.9144365191459656,0.9630541801452637,0.9200770457585653
,0.930840015411377,0.8600947260856628,0.9698938131332397,0.9202761848767599
,0.9060329794883728,0.902560293674469,0.9564207196235657,0.9216713309288025
,0.8298239707946777,0.969172477722168,0.9732714295387268,0.9240892926851908
,0.9317750930786133,0.9314526915550232,0.9169881343841553,0.9267386396725973
,0.9718282222747803,0.8608261346817017,0.9526777267456055,0.9284440279006958
,0.9130270481109619,0.9208494424819946,0.95350581407547,0.9291274348894755
,0.9253525733947754,0.9296553134918213,0.9372069835662842,0.9307382901509603
,0.8983474969863892,0.9557043313980103,0.938935399055481,0.9309957424799601
,0.9000374674797058,0.9630312919616699,0.9367100596427917,0.9332596063613892
,0.8888888955116272,0.9585986137390137,0.9557251930236816,0.9344042340914408
,0.9584245085716248,0.8845032453536987,0.9625822901725769,0.9351700146993002
,0.9618076682090759,0.8805886507034302,0.9688757658004761,0.9370906949043274
,0.9577126502990723,0.937069833278656,0.9256182909011841,0.9401335914929708
,0.8984179496765137,0.973164439201355,0.9488616585731506,0.9401480158170065
,0.9013943076133728,0.9544861912727356,0.9651530385017395,0.940344512462616
,0.9604347348213196,0.9262933135032654,0.9404497742652893,0.9423926075299581
,0.8991674184799194,0.9702149033546448,0.9656630754470825,0.9450151324272156
,0.9343146085739136,0.9599764347076416,0.9436392188072205,0.9459767540295919
,0.9196485877037048,0.9803138971328735,0.9410704970359802,0.9470109939575195
,0.9249135851860046,0.9436485767364502,0.9761664867401123,0.9482428828875223
,0.9741806387901306,0.9369701147079468,0.9360369443893433,0.9490625659624735
,0.9205065965652466,0.9671431183815002,0.9608923196792603,0.9495140115420023
,0.9726837873458862,0.9036257266998291,0.9733803272247314,0.9498966137568156
,0.9670841097831726,0.9573312401771545,0.930070161819458,0.9514951705932617
,0.9735909104347229,0.9266501069068909,0.9544036388397217,0.9515482187271118
,0.9838263392448425,0.9457175135612488,0.9300304055213928,0.9531914194424947
,0.9935093522071838,0.9261810183525085,0.9421977996826172,0.9539627234141032
,0.9845287799835205,0.9543054699897766,0.9240363240242004,0.9542901913324991
,0.9505442380905151,0.950594961643219,0.9660927057266235,0.9557439684867859
,0.9554736614227295,0.9618870615959167,0.9528704881668091,0.9567437370618185
,0.9850262999534607,0.9275712966918945,0.9625812768936157,0.9583929578463236
,0.9500630497932434,0.9653075933456421,0.960534393787384,0.9586350123087565
